H2S,N2,CO2,C1,C2,C3,C4,C5,C6,C7+,MWC7+,Temp,Psat
0.000000,0.002500,0.002400,0.409100,0.103800,0.090100,0.051300,0.032800,0.022100,0.285800,182.000000,422.038889,207.006803
0.000000,0.003400,0.002500,0.040700,0.031100,0.048800,0.056700,0.055200,0.055100,0.706700,227.717637,344.000000,26.000000
0.000000,0.001500,0.006500,0.304800,0.072700,0.051500,0.020400,0.019600,0.027600,0.495400,239.000000,327.594444,113.605442
0.000000,0.000700,0.000600,0.420600,0.015510,0.002090,0.003120,0.004390,0.006000,0.547000,296.569594,330.400000,175.500000
0.000000,0.017800,0.002400,0.250400,0.071900,0.093200,0.073300,0.047600,0.030700,0.409700,253.331649,362.900000,127.000000
0.000000,0.000400,0.021600,0.199200,0.001090,0.000210,0.000290,0.000710,0.002100,0.774400,482.217820,322.050000,47.230000
0.000000,0.001000,0.027400,0.328600,0.066800,0.064700,0.056500,0.043400,0.036000,0.375800,211.058691,398.000000,162.000000
0.000000,0.000010,0.021000,0.313000,0.075000,0.069000,0.063000,0.047000,0.044000,0.367800,201.429383,393.150000,153.900000
0.000000,0.008500,0.003100,0.296200,0.053400,0.066900,0.053800,0.039200,0.032100,0.446800,231.930987,358.150000,129.900000
0.000000,0.015500,0.043700,0.185400,0.072900,0.103900,0.069000,0.067000,0.051800,0.390800,206.900000,374.300000,100.900000
0.000000,0.003500,0.000400,0.255600,0.000260,0.000040,0.000040,0.000060,0.000200,0.739900,422.100108,308.150000,69.820000
0.000000,0.001300,0.026500,0.376360,0.068090,0.059690,0.052600,0.040700,0.033700,0.341060,205.220385,399.850000,197.900000
0.014100,0.003500,0.005600,0.099900,0.014500,0.018700,0.036400,0.044700,0.052300,0.710300,258.000000,337.944444,34.887470
0.000000,0.003400,0.008400,0.492300,0.063200,0.044600,0.030400,0.022600,0.020600,0.314500,230.000000,366.483333,270.816327
0.000000,0.000400,0.012100,0.189200,0.000400,0.000400,0.000800,0.001000,0.002300,0.793400,530.200000,311.150000,45.647251
0.000000,0.004100,0.004400,0.404800,0.077400,0.082000,0.054500,0.036400,0.028300,0.314150,210.490275,370.950000,203.500000
0.000000,0.002000,0.018800,0.307800,0.070700,0.068000,0.062600,0.050800,0.043100,0.376200,199.636507,394.250000,154.100000
0.000000,0.003400,0.008400,0.492300,0.063200,0.044600,0.030400,0.022600,0.020600,0.314500,230.000000,366.483333,270.816327
0.005100,0.002100,0.007500,0.060500,0.025900,0.058300,0.076900,0.061400,0.054200,0.648100,231.000000,337.944444,24.269545
0.000000,0.003000,0.009000,0.534700,0.114600,0.087900,0.045600,0.020900,0.015100,0.126900,143.000000,353.150000,303.401361
0.000000,0.000200,0.009600,0.320300,0.034900,0.003900,0.006905,0.005095,0.005300,0.613900,283.486905,333.150000,137.800000
0.000000,0.000600,0.008500,0.407000,0.105400,0.065500,0.044100,0.027200,0.028100,0.313600,195.000000,390.372222,216.326531
0.000000,0.004100,0.006500,0.302100,0.068900,0.066000,0.058800,0.046200,0.042700,0.404700,247.000000,330.372222,127.891156
0.000000,0.002100,0.001500,0.277700,0.076800,0.061900,0.034100,0.018100,0.028400,0.499400,228.000000,329.816667,108.163265
0.000000,0.004900,0.004700,0.315500,0.086600,0.079200,0.054800,0.034700,0.044500,0.375100,289.000000,329.261111,116.666667
0.000000,0.001500,0.003900,0.275500,0.078600,0.063000,0.035900,0.025800,0.036800,0.479000,152.000000,328.705556,93.877551
0.000000,0.000900,0.011000,0.185800,0.000200,0.000100,0.000200,0.000800,0.001500,0.794500,544.010000,322.150000,41.370000
0.000000,0.000300,0.083900,0.474300,0.102900,0.061200,0.042000,0.028900,0.020500,0.186100,180.000000,419.261111,272.108844
0.000000,0.002000,0.011900,0.322600,0.075700,0.059700,0.038500,0.031700,0.036300,0.421600,134.000000,329.261111,121.632653
0.000000,0.000700,0.004400,0.330400,0.045600,0.009000,0.012200,0.006900,0.031000,0.559800,285.100000,345.150000,118.200000
0.000000,0.000000,0.000000,0.741800,0.053200,0.046700,0.025800,0.009700,0.015600,0.107200,159.000000,373.150000,323.333333
0.000000,0.000600,0.008100,0.313400,0.074200,0.056800,0.028200,0.016300,0.026400,0.476000,270.000000,328.705556,123.170000
0.000000,0.000360,0.001700,0.312200,0.065000,0.047500,0.025300,0.017100,0.026400,0.504500,264.000000,330.372222,114.965986
0.000000,0.000600,0.011000,0.431300,0.104600,0.072400,0.045700,0.028200,0.023400,0.282900,214.000000,389.261111,218.911565
0.000000,0.056000,0.004000,0.135000,0.067000,0.063000,0.049000,0.046000,0.067000,0.513000,231.000000,316.483333,61.224490
0.000000,0.002100,0.003400,0.200400,0.079300,0.080000,0.066000,0.058700,0.050800,0.459300,230.000000,385.927778,61.224490
0.000000,0.000000,0.000000,0.733600,0.053500,0.047100,0.026200,0.010000,0.016200,0.111800,161.000000,373.150000,322.585034
0.026700,0.000600,0.050100,0.230300,0.084900,0.082600,0.053900,0.043800,0.038900,0.388200,254.000000,365.722222,119.348244
0.007500,0.001300,0.014500,0.360200,0.088300,0.061300,0.041000,0.028000,0.024900,0.373000,230.100000,347.944444,198.086369
0.000000,0.010500,0.000600,0.305000,0.000300,0.000200,0.000500,0.000800,0.003300,0.678800,450.000000,305.000000,107.303175
0.000000,0.000300,0.024700,0.167100,0.000590,0.000510,0.001370,0.001330,0.003800,0.800300,548.217739,322.050000,42.100000
0.000000,0.001400,0.005400,0.294400,0.079600,0.061900,0.039600,0.032500,0.038400,0.446800,290.000000,329.816667,107.482993
0.000000,0.003300,0.030300,0.413300,0.088900,0.059500,0.041200,0.026600,0.000000,0.336900,200.000000,366.483333,217.687075
0.011600,0.002500,0.021900,0.163300,0.062900,0.074800,0.060900,0.043600,0.035800,0.522700,249.000000,374.816667,85.782313
0.000000,0.003600,0.001700,0.272300,0.089300,0.086000,0.060700,0.037100,0.025500,0.423800,271.000000,327.594444,92.857143
0.000000,0.003100,0.000600,0.149900,0.011300,0.002800,0.007400,0.004200,0.004800,0.815900,343.000000,350.150000,50.000000
0.000000,0.003900,0.001400,0.214000,0.064000,0.074300,0.050600,0.043400,0.044500,0.503900,245.000000,338.150000,76.462585
0.000000,0.007800,0.001000,0.206400,0.058000,0.070500,0.069000,0.059500,0.051100,0.476700,237.000000,342.594444,82.244898
0.000000,0.004500,0.016400,0.458500,0.071500,0.067400,0.039500,0.026800,0.025200,0.290200,216.182551,387.350000,255.600000
0.000000,0.000000,0.000000,0.467800,0.087700,0.074400,0.040100,0.025600,0.040200,0.264000,158.000000,373.150000,200.068027
